stadium,city,country,capacity
AT&T Stadium,Arlington,United States,80000
Arrowhead Stadium,Kansas City,United States,76416
BC Place,Vancouver,Canada,54500
BMO Field,Toronto,Canada,45736
Estadio Akron,Zapopan,Mexico,48071
Estadio Azteca,Mexico City,Mexico,87523
Estadio BBVA,Guadalupe,Mexico,53500
Gillette Stadium,Foxborough,United States,65878
Hard Rock Stadium,Miami Gardens,United States,64767
Levi's Stadium,Santa Clara,United States,68500
Lincoln Financial Field,Philadelphia,United States,67594
Lumen Field,Seattle,United States,69000
Mercedes-Benz Stadium,Atlanta,United States,71000
MetLife Stadium,East Rutherford,United States,82500
NRG Stadium,Houston,United States,72220
SoFi Stadium,Inglewood,United States,70240
